dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time
Timewaster:50000: 34-57,50000,2216700009,3.166883125,3.168362438,3.181261334,3.715862941,0.586482158,0.1428564987,0.5188049805,0.135343077,5,3.845991117E-09,916650000,0.7050855514,0,1,0,1,1,0,1,190003000.6,316671667.7,0.9631544086,0,0,0,0.0004563013,0.0004570158,0.0004584448,0.000461303,0.0004670179,0.0004784491,0.0005017968,454,1,23.225514,7.608884
reduction_50000: 13-21,50000,3000055007,4.000083636,4.001575123,4.013569147,4.490298835,0.6666644446,0.166670278,0.8333297213,0,2,0.000000001,1500020001,0.7499987486,0,0,0,1,1,0,1,500006667.7,750010001.5,0.9727474379,0,0,0,0,0,0,0,0,0,0,454,1,4.202447,5.381065
search_vector:50000: 35-50,50000,1624755008,4.333469922,4.336419177,4.360509571,5.4276402,0.6153850895,0.3076925441,0.6153881656,0.153838578,784,7.841176129E-07,624905001,0.6249987471,0,0,0.0713377121,0.9285742858,0.9999119979,0.0713377121,0.9999559989,1115886.483,32402037.15,0.9496716424,0,0,0,0.000000985,0.00000197,0.000003939,0.00000788,0.0000158,0.000031511,0.000063,454,1,19.518681,0.980425
search_vector:30000: 35-50,30000,584853008,4.333561006,4.33847931,4.378821353,6.526686287,0.6153854064,0.3076927015,0.6153905325,0.1538335253,471,1.308660477E-06,224943001,0.6249979085,0,0,0.0712768553,0.9285751429,0.9998519982,0.0712768553,0.9999259991,668605.1019,18524294.29,0.9161101153,0,0,0,0.00000274,0.00000547,0.0000109,0.0000219,0.0000438,0.0000875,0.0001752117,272,1,6.738834,0.642431
search_vector:12000: 35-50,12000,93541208,4.333902751,4.346225583,4.44891257,9.237420689,0.6153866005,0.3076932896,0.6153994077,0.1538145627,191,0.000003318,35977200,0.6249947233,0,0,0.0710468419,0.9285811432,0.9996279851,0.0710468419,0.9998139926,265080.0158,6295650.375,0.7901881605,0,0,0,0.0000171,0.0000342,0.0000684,0.0001368057,0.0002735535,0.0005472226,0.0010953718,109,1,1.100819,0.428279
string_matching:4000000: 52-70,4000000,35960593009,5.999830346,6.015028094,6.137270214,12.51404668,0.611127158,0.2222209878,0.7777790121,0,3203,1.457466261E-07,13984897001,0.6363570259,0,0,0,0.9995199846,0.9995199846,0,0.9997599923,6235142.635,193955310.7,0.8183189734,0,0,0,4.45E-08,0.000000089,0.000000178,0.000000356,0.000000712,0.00000142,0.00000285,36315,1,33.43429,29.519475
string_matching:3000000: 52-70,3000000,26959193009,5.999830346,6.015028094,6.137270214,12.51404668,0.6111271581,0.2222209878,0.7777790121,0,2423,1.470669014E-07,4494297000,0.2727867659,0,0,0,0.9995199846,0.9995199846,0,0.9997599923,6183648.639,189579708.9,0.8183189734,0,0,0,5.93E-08,0.000000119,0.000000237,0.000000475,0.000000949,0.0000019,0.0000038,27225,1,24.870105,22.252725
string_matching:2000000: 52-70,2000000,17957793009,5.999830346,6.015028094,6.137270214,12.51404668,0.6111271581,0.2222209878,0.777779012,0,1640,1.494374E-07,6983697001,0.6363570257,0,0,0,0.9995199846,0.9995199846,0,0.9997599923,6083046.953,184744388.9,0.8183189734,0,0,0,8.91E-08,0.000000178,0.000000356,0.000000713,0.00000142,0.00000285,0.00000571,18135,1,16.409556,14.847034
3D_array_700: 17-28,700,1235388780,7.197260332,12.00573513,12.00584502,12.0097733,0.6110978489,0.1389815779,0.5833730301,0.3609390074,5,6.623012835E-09,377545280,0.500097447,0.0769230769,0.1538461538,0.0624779993,0.9375220007,1,0.0624779993,1,448.2271628,14341.65024,0.5994353564,0.1,0,0.3,0,0,0,0,0,0,0,6,1,41.464354,6.140795
3D_array_500: 17-28,500,450300560,7.196150568,12.00804086,12.00825628,12.0159583,0.6110925245,0.1390187079,0.5833889169,0.360870082,5,1.817023509E-08,137625200,0.5001364476,0.0769230769,0.1538461538,0.0624697492,0.9375302508,1,0.0624697492,1,448.3159289,14341.59389,0.5991800271,0.1,0,0.3,0,0,0,0,0,0,0,4,1,14.795951,2.28441
